V1;V2;V3;V4;V5;V6;V7
216;12054_7#50;T126N4_C2;ST239;ERS254856;97.44;current;T126_N04_C03
217;12054_7#51;T126N4_C3;ST239;ERS254857;113.2;current;T126_N04_C04
218;12054_7#52;T126N4_C4;ST239;ERS254858;114.68;current;T126_N04_C05
219;12054_7#53;T126N4_C5;ST239;ERS254859;105.48;current;T126_N04_C06
220;12054_7#54;T126N4_C6;ST239;ERS254860;117.12;current;T126_N04_C07
221;12054_7#55;T126N4_C7;ST239;ERS254861;119.12;current;T126_N04_C08
222;12054_7#56;T126N4_C8;ST239;ERS254862;129.88;current;T126_N04_C09
223;5704_7#3;T126N5;NA;ERS007948;102.2;Tong;T126_N05_C01
224;12054_7#57;T126N5_C1;ST239;ERS254863;104.94;current;T126_N05_C02
225;12054_7#58;T126N5_C2;ST239;ERS254864;91.23;current;T126_N05_C03
226;12054_7#59;T126N5_C3;ST239;ERS254865;110.19;current;T126_N05_C04
227;12054_7#60;T126N5_C4;ST239;ERS254866;106.83;current;T126_N05_C05
228;12054_7#61;T126N5_C5;ST239;ERS254867;115.44;current;T126_N05_C06
229;12054_7#62;T126N5_C6;ST239;ERS254868;120.12;current;T126_N05_C07
230;12054_7#63;T126N5_C7;ST239;ERS254869;112.64;current;T126_N05_C08
231;12054_7#64;T126N5_C8;ST239;ERS254870;123.2;current;T126_N05_C09
232;4752_7#4;T126N6;NA;ERS007949;112.2;Tong;T126_N06_C01
233;5985_3#10;T126 N6;NA;ERS023866;373.3;Tong;T126_N06_C02
234;5985_3#11;T126 N6;NA;ERS023867;408.6;Tong;T126_N06_C03
235;5985_3#7;T126 N6;NA;ERS023863;450.5;Tong;T126_N06_C04
236;5985_3#8;T126 N6;NA;ERS023864;472.3;Tong;T126_N06_C05
237;5985_3#9;T126 N6;NA;ERS023865;446.7;Tong;T126_N06_C06
238;5985_4#1;T126 N6;NA;ERS023868;364.4;Tong;T126_N06_C07
239;5985_4#10;T126 N6;NA;ERS023877;345;Tong;T126_N06_C08
240;5985_4#11;T126 N6;NA;ERS023878;360;Tong;T126_N06_C09
241;5985_4#2;T126 N6;NA;ERS023869;392.6;Tong;T126_N06_C10
242;5985_4#3;T126 N6;NA;ERS023870;420.4;Tong;T126_N06_C11
243;5985_4#4;T126 N6;NA;ERS023871;404.1;Tong;T126_N06_C12
244;5985_4#5;T126 N6;NA;ERS023872;355.1;Tong;T126_N06_C13
245;5985_4#6;T126 N6;NA;ERS023873;379.5;Tong;T126_N06_C14
246;5985_4#7;T126 N6;NA;ERS023874;374;Tong;T126_N06_C15
247;5985_4#8;T126 N6;NA;ERS023875;388.3;Tong;T126_N06_C16
248;5985_4#9;T126 N6;NA;ERS023876;371.8;Tong;T126_N06_C17
249;5985_5#1;T126 N6;NA;ERS023879;444.2;Tong;T126_N06_C18
250;5985_5#2;T126 N6;NA;ERS023880;433.7;Tong;T126_N06_C19
251;5985_5#3;T126 N6;NA;ERS023881;488.3;Tong;T126_N06_C20
252;5985_5#4;T126 N6;NA;ERS023882;447.7;Tong;T126_N06_C21
253;4752_7#5;T126N7;NA;ERS007950;102.6;Tong;T126_N07_C01
254;5704_7#4;T126N8;NA;ERS007951;130;Tong;T126_N08_C01
255;12054_7#65;T126N8_C1;ST239;ERS254871;99.99;current;T126_N08_C02
256;12054_7#66;T126N8_C2;ST239;ERS254872;89.49;current;T126_N08_C03
257;12054_7#67;T126N8_C3;ST239;ERS254873;95.76;current;T126_N08_C04
258;12054_7#68;T126N8_C4;ST239;ERS254874;96.6;current;T126_N08_C05
259;12054_7#69;T126N8_C5;ST239;ERS254875;103.26;current;T126_N08_C06
260;12054_7#70;T126N8_C6;ST239;ERS254876;104.07;current;T126_N08_C07
261;12054_7#71;T126N8_C7;ST239;ERS254877;106.08;current;T126_N08_C08
262;12054_7#72;T126N8_C8;ST239;ERS254878;115.04;current;T126_N08_C09
263;4752_7#7;T126N9;NA;ERS007952;67.8;Tong;T126_N09_C01
264;12054_7#73;T126N9_C1;ST239;ERS254879;96.75;current;T126_N09_C02
265;12054_7#74;T126N9_C2;ST239;ERS254880;91.08;current;T126_N09_C03
266;12054_7#75;T126N9_C3;ST239;ERS254881;96.15;current;T126_N09_C04
