12054_8#61	T137_N05_C06
12054_8#62	T137_N05_C07
12054_8#63	T137_N05_C08
12054_8#64	T137_N06_C01
12054_8#65	T137_N06_C02
12054_8#66	T137_N06_C03
12054_8#67	T137_N06_C04
12054_8#68	T137_N06_C05
12054_8#69	T137_N06_C06
12054_8#70	T137_N06_C07
12054_8#71	T137_N06_C08
12054_8#72	T137_N07_C01
12054_8#73	T137_N07_C02
12054_8#74	T137_N07_C03
12054_8#75	T137_N07_C04
12054_8#76	T137_N07_C05
12054_8#77	T137_N07_C06
12054_8#78	T137_N07_C07
12054_8#79	T137_N07_C08
12054_8#80	T137_N08_C01
12054_8#81	T137_N08_C02
12054_8#82	T137_N08_C03
12054_8#83	T137_N08_C04
12054_8#84	T137_N08_C05
12054_8#85	T137_N08_C06
12054_8#86	T137_N08_C07
12054_8#87	T137_N08_C08
12054_8#88	T137_N09_C01
12054_8#89	T137_N09_C02
12054_8#90	T137_N09_C03
12054_8#91	T137_N09_C04
12054_8#92	T137_N09_C05
12054_8#93	T137_N09_C06
12054_8#94	T137_N09_C07
12083_7#87	T137_N09_C08
12378_8#64	T137_T03_C01
12378_8#65	T137_T04_C01
12378_8#66	T137_T05_C01
12378_8#67	T137_T06_C01
12378_8#68	T137_T07_C01
12378_8#69	T137_T08_C01
12378_8#31	T013_A01_C01
12378_8#32	T014_A01_C01
5227_1#6	T156_W03_C01
12378_8#71	T159_A08_C01
12378_8#72	T159_C07_C01
12378_8#73	T159_C08_C01
5227_1#3	T159_N04_C01
12083_7#24	T159_N04_C02
12083_7#25	T159_N04_C03
12083_7#26	T159_N04_C04
12083_7#27	T159_N04_C05
12083_7#28	T159_N04_C06
12083_7#29	T159_N04_C07
12083_7#30	T159_N04_C08
12083_7#31	T159_N04_C09
12083_7#32	T159_N05_C01
12083_7#33	T159_N05_C02
12083_7#34	T159_N05_C03
12083_7#35	T159_N05_C04
12083_7#36	T159_N05_C05
12083_7#37	T159_N05_C06
12083_7#38	T159_N05_C07
12083_7#39	T159_N05_C08
12083_7#40	T159_N06_C01
12083_7#41	T159_N06_C02
12083_7#42	T159_N06_C03
12083_7#43	T159_N06_C04
12083_7#44	T159_N06_C05
12083_7#45	T159_N06_C06
12083_7#46	T159_N06_C07
12083_7#47	T159_N06_C08
12083_7#48	T159_N07_C01
12083_7#49	T159_N07_C02
12083_7#50	T159_N07_C03
12083_7#51	T159_N07_C04
12083_7#52	T159_N07_C05
12083_7#53	T159_N07_C06
12083_7#54	T159_N07_C07
5227_1#2	T159_N08_C01
12083_7#55	T159_N08_C02
12083_7#56	T159_N08_C03
12083_7#57	T159_N08_C04
12083_7#58	T159_N08_C05
12083_7#59	T159_N08_C06
12083_7#60	T159_N08_C07
12083_7#61	T159_N08_C08
12083_7#62	T159_N08_C09
12083_7#63	T159_N08_C10
12083_8#82	T159_N08_C11
4950_3#12	T178_N03_C01
12378_8#74	T178_T02_C01
4950_3#11	T182_N01_C01
12378_8#75	T183_A08_C01
4950_3#10	T183_N02_C01
12083_7#64	T183_N02_C02
12083_7#65	T183_N02_C03
12083_7#66	T183_N02_C04
12083_7#67	T183_N02_C05
12083_7#68	T183_N02_C06
12083_7#69	T183_N02_C07
12083_7#70	T183_N02_C08
12083_7#71	T183_N02_C09
12083_7#72	T183_N03_C01
12083_7#73	T183_N03_C02
12083_7#74	T183_N03_C03
12083_7#75	T183_N03_C04
12083_7#76	T183_N03_C05
12083_7#77	T183_N03_C06
12083_7#78	T183_N03_C07
12083_7#79	T183_N03_C08
12083_7#80	T183_N05_C01
12083_7#81	T183_N05_C02
12083_8#83	T183_N05_C03
12083_8#84	T183_N05_C04
12083_8#85	T183_N05_C05
12083_8#86	T183_N05_C06
12083_8#87	T183_N05_C07
12083_8#88	T183_N05_C08
12083_7#88	T183_N06_C01
12083_7#89	T183_N06_C02
12083_7#90	T183_N06_C03
12083_7#91	T183_N06_C04
12083_7#92	T183_N06_C05
12083_7#93	T183_N06_C06
12083_7#94	T183_N06_C07
4950_3#9	T183_N08_C01
12083_7#82	T183_N08_C02
12083_7#83	T183_N08_C03
12083_7#84	T183_N08_C04
12083_7#85	T183_N08_C05
12083_8#50	T183_N08_C06
12083_8#51	T183_N08_C07
12083_8#52	T183_N08_C08
12083_8#53	T183_N08_C09
12378_8#76	T183_T02_C01
12378_8#77	T183_T03_C01
12378_8#78	T183_T05_C01
12378_8#79	T183_T06_C01
12378_8#80	T183_T07_C01
12378_8#81	T183_T08_C01
12378_8#82	T188_C01_C01
4950_3#8	T188_N01_C01
12162_8#1	T188_N02_C01
12162_8#2	T188_N02_C02
